epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.8842,1.41165,2.11347,1.28958,0.71668,0.65152,0.79951,0.63264,0.67324,1.6231,0.90137,0.00062,0.00062,0.00062
2,22.9961,1.36148,1.37203,1.22889,0.67071,0.77153,0.7331,0.52893,0.86083,1.16222,1.05822,0.00124753,0.00124753,0.00124753
3,28.1324,1.28935,1.32709,1.21919,0.8557,0.71884,0.8819,0.64632,0.81777,1.17976,1.01722,0.00186238,0.00186238,0.00186238
4,32.7945,1.29863,1.28991,1.21802,0.71489,0.72188,0.81066,0.62126,0.87328,1.35207,1.08657,0.0019406,0.0019406,0.0019406
5,37.3916,1.3078,1.20473,1.2248,0.66473,0.84848,0.72999,0.55226,0.804,1.19538,1.00828,0.0019208,0.0019208,0.0019208
6,41.9693,1.23961,1.11646,1.18194,0.9324,0.83333,0.94835,0.70264,0.80453,1.02032,0.98708,0.001901,0.001901,0.001901
7,46.7943,1.24431,1.11649,1.18043,0.93818,0.92424,0.95887,0.76859,0.75699,0.88178,0.99133,0.0018812,0.0018812,0.0018812
8,51.5469,1.19216,1.03293,1.14586,0.90033,0.95805,0.98225,0.7935,0.74169,0.66031,0.95391,0.0018614,0.0018614,0.0018614
9,56.21,1.17224,1.00089,1.14635,0.90168,0.90909,0.96298,0.77352,0.76056,0.76624,0.97633,0.0018416,0.0018416,0.0018416
10,61.0046,1.15776,1.01454,1.14685,0.90353,0.80303,0.91215,0.72636,0.80379,0.70463,1.05172,0.0018218,0.0018218,0.0018218
11,66.0174,1.1713,0.96414,1.13249,0.81492,0.75758,0.86871,0.67971,0.76497,0.89423,1.02444,0.001802,0.001802,0.001802
12,71.7638,1.1392,0.92525,1.11569,0.93193,0.84848,0.95145,0.76314,0.69917,0.68478,0.95844,0.0017822,0.0017822,0.0017822
13,76.7136,1.15,0.87774,1.11612,1,0.89549,0.95859,0.80605,0.72561,0.71808,0.94821,0.0017624,0.0017624,0.0017624
14,81.8323,1.139,0.86656,1.11142,0.94121,0.97025,0.98862,0.8255,0.66114,0.54476,0.92248,0.0017426,0.0017426,0.0017426
15,86.9604,1.11411,0.9158,1.11416,0.84069,0.80303,0.84171,0.63271,0.83159,0.80404,0.98427,0.0017228,0.0017228,0.0017228
16,92.3051,1.14669,0.8794,1.10761,0.88333,0.91779,0.95694,0.75376,0.77636,0.64903,1.01686,0.001703,0.001703,0.001703
17,97.6535,1.07943,0.83858,1.10132,0.88392,0.92424,0.95876,0.80626,0.64485,0.56644,0.92966,0.0016832,0.0016832,0.0016832
18,102.863,1.07566,0.80618,1.08027,0.90274,0.98443,0.9847,0.82223,0.66846,0.53461,0.91599,0.0016634,0.0016634,0.0016634
19,108.217,1.07482,0.81249,1.0866,0.92211,0.92424,0.96019,0.78997,0.69869,0.60916,0.93141,0.0016436,0.0016436,0.0016436
20,113.665,1.04122,0.79901,1.09006,0.96825,0.92401,0.97538,0.81832,0.60535,0.51658,0.90319,0.0016238,0.0016238,0.0016238
21,118.975,1.07936,0.76973,1.07463,0.91509,0.90909,0.9766,0.83611,0.61132,0.52102,0.89097,0.001604,0.001604,0.001604
22,124.306,1.07522,0.77366,1.07579,0.95475,0.95905,0.98834,0.83265,0.64609,0.46635,0.91477,0.0015842,0.0015842,0.0015842
23,129.69,1.05193,0.76769,1.08208,0.98331,0.8929,0.95597,0.798,0.61423,0.54273,0.90951,0.0015644,0.0015644,0.0015644
24,135.101,1.03657,0.75552,1.05854,0.93423,0.92424,0.95577,0.80152,0.63812,0.58368,0.90076,0.0015446,0.0015446,0.0015446
25,140.491,1.0437,0.74935,1.05619,0.96948,0.95455,0.99056,0.83661,0.62244,0.44849,0.89399,0.0015248,0.0015248,0.0015248
26,146.049,1.03622,0.73379,1.07315,0.93814,0.9697,0.98472,0.85146,0.57262,0.44387,0.8743,0.001505,0.001505,0.001505
27,151.643,1.00428,0.73322,1.04438,0.95494,0.96344,0.98356,0.84353,0.61839,0.45956,0.8996,0.0014852,0.0014852,0.0014852
28,157.146,1.00203,0.70252,1.05227,0.89102,0.98485,0.98522,0.85445,0.53405,0.4808,0.87703,0.0014654,0.0014654,0.0014654
29,162.642,1.05744,0.72097,1.06194,0.98381,0.92064,0.98285,0.84901,0.57092,0.44173,0.88155,0.0014456,0.0014456,0.0014456
30,168.195,1.01168,0.69754,1.04041,0.95248,0.86364,0.94414,0.72756,0.68411,0.54025,0.92934,0.0014258,0.0014258,0.0014258
31,173.741,0.9976,0.6906,1.04407,0.93801,1,0.99058,0.85881,0.54049,0.40971,0.87801,0.001406,0.001406,0.001406
32,179.531,0.96712,0.64023,1.02967,0.94162,1,0.99112,0.84234,0.56227,0.43502,0.87607,0.0013862,0.0013862,0.0013862
33,185.748,0.99445,0.66525,1.04395,0.98757,0.92424,0.98823,0.86323,0.58466,0.42983,0.89008,0.0013664,0.0013664,0.0013664
34,191.548,1.0183,0.68437,1.0423,0.94049,0.98485,0.9902,0.85545,0.59663,0.42936,0.88444,0.0013466,0.0013466,0.0013466
35,197.891,1.00968,0.65261,1.04069,0.95434,0.95001,0.98241,0.8423,0.57267,0.43961,0.87367,0.0013268,0.0013268,0.0013268
36,203.447,0.98149,0.68183,1.04708,0.9696,0.96669,0.98566,0.84481,0.54183,0.40596,0.86956,0.001307,0.001307,0.001307
