epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,138.62,0.81903,0.57879,1.00501,0.94927,0.97912,0.995,0.69806,1.17316,0.51094,1.20329,0.000660045,0.000660045,0.000660045
43,142.296,0.86034,0.59743,1.00834,0.96171,0.92439,0.995,0.73255,1.08308,0.50247,1.14883,0.000649046,0.000649046,0.000649046
44,145.904,0.81013,0.58408,0.99537,0.9759,0.926,0.995,0.72227,1.06285,0.52803,1.1414,0.000638047,0.000638047,0.000638047
45,149.55,0.81912,0.59661,1.00972,0.95962,0.97554,0.995,0.72096,1.06818,0.47453,1.14518,0.000627048,0.000627048,0.000627048
46,153.155,0.79923,0.59811,0.99155,0.96223,0.9601,0.995,0.74166,1.05296,0.55827,1.1231,0.000616049,0.000616049,0.000616049
47,156.793,0.76272,0.56821,0.98151,0.89847,0.88645,0.995,0.76193,1.04812,0.72784,1.11303,0.000605051,0.000605051,0.000605051
48,160.068,0.80472,0.5669,1.01646,0.96055,0.90758,0.995,0.75589,1.0973,0.59483,1.11635,0.000594052,0.000594052,0.000594052
49,163.679,0.79386,0.60384,1.00062,0.95146,0.94711,0.995,0.75675,1.04092,0.49544,1.12111,0.000583053,0.000583053,0.000583053
50,167.01,0.75436,0.53462,0.97859,0.96884,0.95131,0.995,0.77263,0.98871,0.51778,1.10043,0.000572054,0.000572054,0.000572054
51,170.203,0.73732,0.54305,0.95605,0.96173,0.95188,0.995,0.71926,1.08012,0.49973,1.1425,0.000561055,0.000561055,0.000561055
52,173.499,0.79017,0.55438,0.9859,0.95491,0.95111,0.995,0.75137,1.04811,0.50212,1.15724,0.000550056,0.000550056,0.000550056
53,176.617,0.73711,0.53839,0.96918,0.95844,0.96871,0.995,0.71679,1.039,0.46802,1.18033,0.000539057,0.000539057,0.000539057
54,179.917,0.75124,0.55272,0.98494,0.96372,0.95242,0.995,0.7228,1.09139,0.50234,1.19295,0.000528058,0.000528058,0.000528058
55,183.268,0.78419,0.57363,0.99333,0.97653,0.95389,0.995,0.76535,1.00005,0.44946,1.11593,0.000517059,0.000517059,0.000517059
56,186.65,0.72667,0.52221,0.97052,0.94921,0.97929,0.995,0.77885,1.02389,0.46148,1.13272,0.00050606,0.00050606,0.00050606
57,189.854,0.73137,0.5225,0.96834,0.95212,0.9526,0.995,0.76216,1.04299,0.46198,1.10433,0.000495062,0.000495062,0.000495062
58,193.168,0.72155,0.51709,0.97051,0.93271,0.99506,0.995,0.73813,1.04256,0.47395,1.09012,0.000484063,0.000484063,0.000484063
59,196.412,0.73669,0.51344,0.97403,0.95856,1,0.995,0.75351,1.06564,0.47107,1.14696,0.000473064,0.000473064,0.000473064
60,199.7,0.72048,0.53888,0.97663,0.96003,0.96989,0.995,0.73698,1.01891,0.46575,1.11164,0.000462065,0.000462065,0.000462065
61,202.899,0.71457,0.51473,0.98093,0.94855,0.95266,0.995,0.74243,1.04183,0.47625,1.13044,0.000451066,0.000451066,0.000451066
62,206.156,0.70145,0.49701,0.94359,0.96312,0.99909,0.995,0.76314,1.00564,0.44078,1.09635,0.000440067,0.000440067,0.000440067
63,209.506,0.70232,0.51772,0.95921,0.96558,0.96738,0.995,0.7652,0.95611,0.43338,1.10369,0.000429068,0.000429068,0.000429068
64,212.779,0.6704,0.49266,0.94974,0.97396,0.99383,0.995,0.74564,1.0162,0.44782,1.11054,0.000418069,0.000418069,0.000418069
65,216.108,0.66434,0.46794,0.95024,0.98136,1,0.995,0.7483,0.99328,0.41028,1.10347,0.00040707,0.00040707,0.00040707
66,219.399,0.66109,0.47237,0.94795,0.96489,0.99305,0.995,0.77264,0.98006,0.41409,1.08778,0.000396071,0.000396071,0.000396071
67,222.671,0.67109,0.50754,0.95552,0.95767,0.98375,0.995,0.75581,1.06137,0.46893,1.13288,0.000385073,0.000385073,0.000385073
68,226.392,0.6338,0.46452,0.95038,0.97101,0.96125,0.995,0.78564,1.03312,0.46578,1.09937,0.000374074,0.000374074,0.000374074
69,229.58,0.68988,0.48329,0.95199,0.95796,0.96795,0.995,0.77166,0.98511,0.44843,1.1033,0.000363075,0.000363075,0.000363075
70,232.894,0.67354,0.49853,0.95699,0.97058,0.95581,0.995,0.74141,0.98926,0.42361,1.11138,0.000352076,0.000352076,0.000352076
71,236.221,0.64808,0.46511,0.93331,0.95904,0.95758,0.995,0.70691,1.13627,0.45861,1.17687,0.000341077,0.000341077,0.000341077
72,239.511,0.61592,0.45926,0.92505,0.95285,0.99628,0.995,0.77628,1.04148,0.43375,1.12576,0.000330078,0.000330078,0.000330078
73,242.87,0.61712,0.46057,0.92504,0.95324,0.97104,0.995,0.76516,1.05003,0.43901,1.10882,0.000319079,0.000319079,0.000319079
74,246.309,0.64136,0.47298,0.94108,0.96297,0.9956,0.995,0.77524,1.00733,0.39557,1.11281,0.00030808,0.00030808,0.00030808
75,249.672,0.60576,0.43579,0.905,0.96129,0.97918,0.995,0.77131,1.02432,0.41285,1.119,0.000297081,0.000297081,0.000297081
76,253.075,0.60762,0.43226,0.91597,0.95861,0.95787,0.995,0.75935,1.06725,0.45634,1.1728,0.000286083,0.000286083,0.000286083
77,256.323,0.62085,0.44485,0.92287,0.93966,0.97803,0.995,0.75477,1.0321,0.45905,1.12508,0.000275084,0.000275084,0.000275084
78,259.602,0.61884,0.44041,0.94235,0.95282,0.98033,0.995,0.76362,1.02346,0.42064,1.15639,0.000264085,0.000264085,0.000264085
79,262.946,0.6069,0.43922,0.92675,0.95076,0.98596,0.995,0.7622,1.02626,0.4216,1.14466,0.000253086,0.000253086,0.000253086
80,266.245,0.5787,0.43341,0.92369,0.91575,0.98505,0.995,0.7521,1.03902,0.42908,1.12582,0.000242087,0.000242087,0.000242087
81,269.65,0.61356,0.4314,0.92677,0.928,0.9878,0.995,0.74974,1.06438,0.44423,1.14991,0.000231088,0.000231088,0.000231088
82,272.992,0.56365,0.42815,0.90542,0.95762,0.99835,0.995,0.75344,1.06082,0.43772,1.12234,0.000220089,0.000220089,0.000220089
83,276.405,0.60929,0.44734,0.93448,0.96778,1,0.995,0.76744,1.00661,0.42124,1.0905,0.00020909,0.00020909,0.00020909
84,279.77,0.57201,0.41339,0.92446,0.96759,1,0.995,0.74797,0.99227,0.40085,1.09168,0.000198091,0.000198091,0.000198091
85,283.268,0.57893,0.41306,0.9086,0.97004,0.99566,0.995,0.76915,0.99911,0.40878,1.11919,0.000187092,0.000187092,0.000187092
86,286.614,0.58052,0.41693,0.92961,0.97571,0.95893,0.995,0.75899,0.97147,0.39365,1.09108,0.000176094,0.000176094,0.000176094
87,289.886,0.57048,0.41723,0.92256,0.97144,0.95501,0.995,0.75464,1.00204,0.42887,1.09982,0.000165095,0.000165095,0.000165095
88,293.494,0.58884,0.42495,0.91414,0.97385,0.95601,0.995,0.7442,1.05747,0.45415,1.13487,0.000154096,0.000154096,0.000154096
89,297.004,0.55124,0.40247,0.90772,0.97443,0.95664,0.995,0.74112,1.03821,0.44745,1.13625,0.000143097,0.000143097,0.000143097
90,300.483,0.54719,0.39889,0.91665,0.97385,0.95946,0.995,0.73137,1.0133,0.43272,1.11999,0.000132098,0.000132098,0.000132098
91,352.29,0.47141,0.36544,0.86118,0.97128,0.96366,0.995,0.75613,0.97602,0.4191,1.10794,0.000121099,0.000121099,0.000121099
92,355.294,0.48245,0.3626,0.84922,0.96598,0.96777,0.995,0.75949,0.9991,0.41429,1.11516,0.0001101,0.0001101,0.0001101
93,358.199,0.44917,0.36706,0.85275,0.96808,0.96553,0.995,0.77817,0.99268,0.40245,1.11882,9.91012e-05,9.91012e-05,9.91012e-05
94,361.267,0.44449,0.3584,0.84565,0.97041,0.95857,0.995,0.77221,0.97548,0.40517,1.11213,8.81023e-05,8.81023e-05,8.81023e-05
95,364.288,0.45328,0.35895,0.85392,0.97228,0.95659,0.995,0.77487,0.96758,0.40901,1.114,7.71034e-05,7.71034e-05,7.71034e-05
96,367.577,0.44153,0.35575,0.84639,0.97615,0.95613,0.995,0.78459,0.95427,0.39574,1.10231,6.61045e-05,6.61045e-05,6.61045e-05
97,370.738,0.43455,0.34001,0.84617,0.97863,0.95603,0.995,0.78548,0.95488,0.39819,1.10088,5.51056e-05,5.51056e-05,5.51056e-05
98,373.857,0.41321,0.33657,0.83406,0.97827,0.95811,0.995,0.77636,0.95745,0.39898,1.09715,4.41067e-05,4.41067e-05,4.41067e-05
99,377.091,0.44273,0.34923,0.86046,0.97798,0.9597,0.995,0.78309,0.96736,0.4015,1.09988,3.31078e-05,3.31078e-05,3.31078e-05
100,380.409,0.41825,0.34098,0.84646,0.97711,0.96205,0.995,0.78893,0.96343,0.39689,1.10364,2.21089e-05,2.21089e-05,2.21089e-05
